id	name
1	sergei rachmaninoff james levine berliner philharmoniker
2	dennis day
3	khp kridhamardawa karaton ngayogyakarta hadiningrat
4	frank parker
5	phil regan
6	john mccormack
7	sergei rachmaninoff
8	ignacio corsini
9	fortuge
10	maurice chevalier
11	georgel
12	mehmet kemiksiz
13	zay gatsby
14	sergei rachmaninoff ruth laredo
15	hector berlioz arturo toscanini
16	the guy
17	christopher lynch
18	john mccormack edwin schneider
19	hanende ibrahim efendi
20	ermanno wolfferrari arturo toscanini
21	wolfgang amadeus mozart arturo toscanini
22	sergei rachmaninoff yuri temirkanov st petersburg philharmonic orchestra
23	felix mendelssohn arturo toscanini
24	sergei rachmaninoff zubin mehta vladimir feltsman israel philharmonic orchestra
25	morton downey
26	louis boucot
27	thomas hallsten paine
28	ildebrando pizzetti arturo toscanini
29	alice cocea
30	andre urban
31	gaetano donizetti arturo toscanini
32	mistinguett
33	darüttalimi musiki heyeti
34	sergei rachmaninoff michael tilson thomas barry douglas london symphony orchestra
35	marcelly
36	ludwig van beethoven arturo toscanini
37	georgius
38	robert jysor
39	safiye ayla
40	sergei rachmaninoff janos starker
41	fred gouin
42	jules massenet arturo toscanini
43	simone judic
44	ottorino respighi arturo toscanini
45	sergei rachmaninoff emanuel ax yefim bronfman
46	neyzen ihsan bey
47	emma liebel
48	scarlet dcarpio
49	georges bizet arturo toscanini
50	uli
51	francis marty
52	greg fieler
53	lucien boyer
54	felix mayol
55	victor boucher
56	jeanne saint bonnet
57	adolphe berard
58	louis lynel
59	perchicot
60	drean
61	jim chapman
62	louis armstrong earl hines
63	bessie smith
64	louis armstrong
65	bessie smith louis armstrong
66	king olivers creole jazz band
67	louis armstrong his hot five
68	clarence williams blue five
69	louis armstrong his sebastian new cotton club orchestra
70	jimmie rodgers
71	louis armstrong his hot seven
72	fletcher henderson his orchestra
73	maggie jones
74	louis armstrong his savoy ballroom five
75	erskine tates vendome orchestra
76	margaret johnson
77	carroll dickersons savoyagers
78	nolan welsh
79	the southern serenaders
80	lillie delk christian
81	bertha chippie hill
82	hociel thomas louis armstrong
83	bertha chippie hill louis armstrong
84	seger ellis
85	francisco canaro
86	dranem
87	gaby montbreuse
88	edmee favart
89	hafız ahmet celal tokses
90	harry curtis
91	mlle davia
92	andre bauge
93	fanchants navijači radnički 1923
94	rene de buxeuil
95	hykoski studios
96	macarti
97	4509 starpass prodcutions
98	qatar concert choir giovanni pasini
99	eugenie buffet rene de buxeuil
100	jean goldkette and his orchestra bix beiderbecke
101	paul whiteman his orchestra bix beiderbecke
102	the chenille sisters james dapognys chicago jazz band
103	bix beiderbecke jean goldkette and his orchestra
104	bix beiderbecke hoagy carmichael his orchestra
105	paul whiteman his orchestra bix beiderbecke bing crosby
106	hoagy carmichael his orchestra bix beiderbecke
107	hoagy carmichael his orchestra bix beiderbecke bud freeman
108	paul whiteman his concert orchestra bix beiderbecke
109	bix beiderbecke and his orchestra bix beiderbecke
110	paul whiteman his orchestra bing crosby bix beiderbecke
111	bix beiderbecke bix beiderbecke and his orchestra
112	george olsen
113	jailess
114	duke ellington his washingtonians
115	hot lips page
116	dombrova piano duo
117	georges milton
118	sara gee ramblin matt
119	johann sebastian bach
120	bayan sultan
121	lionel hampton orchestra
122	duke ellington
123	jimmy rushing and his orchestra
124	bijoylal mukherjee
125	mahalia jackson
126	robert marino
127	teddy wilson his allstars
128	jonessmith incorporated
129	count basie
130	tommy dorsey
131	tommy dorsey jack leonard bunny berigan
132	ethel waters
133	jelly roll morton
134	tommy dorsey sy oliver jo stafford
135	the dorsey brothers
136	bing crosby
137	the big aces
138	tommy dorsey edythe wright
139	connie boswell
140	the golden gate orchestra
141	paul whiteman his orchestra
142	tom dorsey
143	the boswell sisters
144	the travelers
145	chick bullock and his levee loungers
146	the dorsey brothers orchestra
147	the allstar orchestra
148	sam lanin his famous players singers
149	ed lang his orchestra
150	frank sinatra tommy dorsey orchestra
151	harold lem his orchestra
152	tommy dorsey duke ellington
153	hoagy carmichael his orchestra
154	the columbia photo players
155	tommy dorsey jimmy dorsey
156	tommy dorsey his clambake seven
157	clarence williams jug band
158	jack bland
159	tommy dorsey his clambake seven tommy dorsey
160	mildred bailey
161	art jarrett
162	the charleston chasers
163	tommy dorsey elvis presley
164	a jam session at victor
165	test for victor young
166	joe turner his memphis men
167	tommy dorsey his clambake seven edythe wright
168	sophie tucker
169	sarah martin
170	pauline carton
171	georges thill
172	don redman and his orchestra
173	cab calloway his orchestra
174	old grape god
175	yvonne george
176	hendersons roseland orchestra
177	rene koval
178	patrick hunt
179	francisco canaro azucena maizani
180	andree turcy
181	marguerite deval
182	cliff edwards
183	the hot airmen
184	american concert orchestra
185	clarence williams his orchestra
186	annette hanshaw
187	frankie halfpint jaxon his hot shots
188	fats waller
189	jelly roll morton johnny dodds
190	louis armstrong his hot seven carroll dickerson orchestra
191	uncle bunt stephens
192	future rapper
193	louisiana sugar babes
194	marbella corella
195	george gershwin
196	fats waller his rhythm and orchestra
197	jack teagarden and his orchestra
198	bunny berigan tommy dorsey fats waller dick mcdonough george wettling
199	jelly roll morton his red hot peppers
200	jelly roll morton his red hot peppers jelly roll morton
201	george gershwin p g wodehouse barbara ruick lehman engel
202	george gershwin p g wodehouse oh kay orchestra 1955 cy walter bernard leighton lehman engel
203	georgette heyer irina salkow
204	george gershwin p g wodehouse allen case oh kay ensemble 1955 lehman engel
205	эрнест хемингуэй
206	ivan rolon
207	max roge
208	ted weems his orchestra
209	bix beiderbecke
210	jimmie rodgers bob sawyers jazz band
211	broadway bell hops bix beiderbecke frank trumbauer
212	frankie trumbauer his orchestra bix beiderbecke
213	ella fitzgerald
214	frank trumbauer his orchestra bix beiderbecke eddie lang
215	frankie trumbauer bix beiderbecke eddie lang
216	dock boggs
217	frankie trumbauer his orchestra bix beiderbecke eddie lang
218	benny meroff his orchestra bix beiderbecke
219	baron lee the blue rhythm band
220	bix beiderbecke the wolverines
221	bill bojangles robinson don redman
222	tito schipa
223	paul bridgwater
224	sexteto habanero
225	damia
226	marty murray
227	francisco canaro agustin irusta
228	orchestre piero coppola jose de trevi lucy perelli piero coppola
229	paul mania heinrich schlusnus johann heidenreich
230	numba 9
231	orchestre piero coppola piero coppola
232	richard wagner mitglieder der staatskapelle berlin max von schillings
233	count basie his orchestra vocal by jimmy rushing
234	orchestre piero coppola ch339ur piero coppola piero coppola
235	francisco canaro jazz band
236	ludwig van beethoven staatskapelle berlin otto klemperer
237	memphis minnie
238	pietro mascagni staatskapelle berlin
239	henry laverne
240	orchestre piero coppola piero coppola jose de trevi lucy perelli
241	orchestre piero coppola jose de trevi piero coppola
242	giuseppe verdi staatskapelle berlin pietro mascagni
243	why not paul bridgwater
244	orchestre piero coppola piero coppola lucy perelli louis musy
245	claude hopkins and his orchestra
246	biscot
247	paul bridgwater geoff horgan
248	francisco canaro luis scalon
249	frehel
250	white flag
251	billie holiday teddy wilson
252	johann sebastian bach thomanerchor leipzig helmut walcha karl straube
253	georges lauweryns yvonne brothier orchestre georges lauweryns
254	otto reutter
255	ella logan the spirit
256	slowburner
257	benny goodman
258	blind willie johnson
259	benny goodman peggy lee
260	leroy carr
261	frederic chopin arthur rubinstein
262	benny goodman sextet benny goodman charlie christian
263	jimmy mcpartland gil rodin larry binyon vic briedis dick morgan jack teagarden ray bauduc harry goodman benny goodman jimmy brackens toe ticklers
264	bascom lamar lunsford
265	frederic chopin vladimir horowitz
266	benny goodman sextet charlie christian
267	benny goodman quartet
268	benny goodman trio
269	benny goodman sextet
270	ted lewis
271	william warfield
272	benny goodman helen ward
273	benny goodman big band
274	jim jackson
275	anita darian louise parker the merrill staton choir
276	barbara cook john raitt
277	tess gardella
278	paul whiteman
279	john raitt barbara cook
280	anita darian
281	the merrill staton choir
282	jack dabdoub the merrill staton choir
283	show boat orchestra 1962 franz allers
284	helen morgan
285	barbara cook the merrill staton choir
286	fay de witt the merrill staton choir
287	william warfield the merrill staton choir
288	roger quilter john heddle nash
289	john raitt
290	robert schumann vladimir horowitz
291	francisco canaro charlo
292	guy lombardo louisiana rhythm kings
293	carl woitschach
294	hp lovecraft
295	dj nativesa
296	sergei rachmaninoff vladimir horowitz
297	seweryn goszczyński
298	moritz moszkowski vladimir horowitz
299	marcels
300	dj shungi
301	osman bey
302	pietro mascagni mitglieder der staatskapelle berlin
303	agustin magaldi
304	muzio clementi vladimir horowitz
305	samuel barber vladimir horowitz
306	alexander scriabin vladimir horowitz
307	carl maria von weber berliner philharmoniker hans pfitzner
308	james piano bar
309	memphis minnie kansas joe
310	prince albert hunts texas ramblers
311	sergei rachmaninoff leopold stokowski
312	эрих мария ремарк
313	eugenie buffet
314	richard strauss elisabeth ohms adele kern elfriede marherr unknown orchestra julius pruwer
315	kcdey
316	francisco canaro antonio buglione
317	cornelio pires pedro massa
318	richard strauss london philharmonic orchestra
319	carroll gibbons
320	gaston gabaroche
321	steve correll group
322	giuseppe verdi julius patzak unknown orchestra manfred gurlitt
323	ludwig van beethoven elisabeth ohms unknown orchestra manfred gurlitt
324	mariano e cacula
325	teodoro cottrau umberto urbano unknown orchestra
326	johann strauss ii margret pfahl waldemar henke willi domgraffassbaender staatskapelle berlin hermann weigert
327	johann strauss ii margret pfahl franz völker leonard kern staatskapelle berlin hermann weigert
328	johann strauss ii else ruziczka adele kern staatskapelle berlin hermann weigert
329	francisco canaro ada falcon
330	montel
331	johann strauss ii margret pfahl adele kern waldemar henke willi domgraffassbaender staatskapelle berlin hermann weigert
332	alessandra de negri
333	joe quartz
334	franz liszt vladimir horowitz
335	the new yorkers wilmouth houdini eileen barton
336	roaring lion gerald clark and his caribbean serenaders
337	mississippi sheiks
338	carlos gardel
339	jack payne
340	al bowlly
341	the growler
342	sam manning
343	big bill broonzy
344	the tiger
345	jack teagarden ben pollack his orchestra
346	francisco alves mario reis
347	louis armstrong his hot seven louis armstrong
348	marlene dietrich
349	george symonette the native bahamian rhythms
350	stuff smith his onyx club boys
351	erskine hawkins his bama state collegians
352	felix mendelssohn andres segovia
