userID	age	gender	country	device	access_hour
2	53	f	Japan	Desktop	23
3	43	f	Germany	Tablet	19
4	29	f	Germany	Desktop	11
5	57	f	Germany	Desktop	15
6	22	f	Japan	Tablet	9
7	35	m	Japan	Mobile	9
8	53	f	Brazil	Tablet	13
9	33	f	UK	Desktop	19
10	37	f	Germany	Mobile	9
11	25	f	UK	Tablet	9
12	25	f	Japan	Mobile	10
13	38	m	Japan	Mobile	22
14	50	m	Japan	Tablet	1
15	54	m	UK	Mobile	19
16	38	f	Japan	Tablet	7
17	17	m	Brazil	Desktop	22
18	36	m	Japan	Mobile	6
20	16	f	USA	Desktop	7
21	38	f	UK	Desktop	0
22	58	f	USA	Mobile	20
23	44	m	Japan	Tablet	1
24	52	m	Brazil	Mobile	17
25	16	f	Germany	Desktop	14
26	35	f	Japan	Desktop	0
27	47	m	Brazil	Tablet	4
28	26	m	UK	Mobile	1
29	36	f	USA	Desktop	19
30	58	f	USA	Desktop	2
31	39	m	USA	Desktop	18
32	41	f	UK	Tablet	17
33	56	m	Brazil	Desktop	21
34	42	m	UK	Desktop	17
35	30	m	USA	Mobile	13
36	29	m	Japan	Mobile	23
37	58	f	Germany	Desktop	7
38	17	f	UK	Desktop	11
39	51	m	UK	Mobile	20
40	21	m	Brazil	Tablet	9
41	35	m	Brazil	Tablet	22
42	23	m	UK	Tablet	19
43	53	m	USA	Tablet	16
44	32	f	Germany	Tablet	10
45	18	f	Brazil	Tablet	1
46	39	f	USA	Tablet	3
47	28	f	Japan	Tablet	0
48	23	m	Brazil	Mobile	14
49	40	m	USA	Tablet	12
50	16	m	USA	Tablet	7
51	34	m	Germany	Tablet	3
52	42	m	Germany	Desktop	9
53	21	f	Japan	Mobile	18
54	58	m	USA	Mobile	17
55	22	f	USA	Mobile	4
56	49	f	Germany	Tablet	18
57	28	f	Brazil	Tablet	22
58	31	f	Brazil	Desktop	21
59	50	m	UK	Mobile	15
60	54	f	Germany	Tablet	0
61	18	f	UK	Mobile	11
62	16	f	Germany	Desktop	23
63	20	m	Japan	Desktop	1
64	56	m	USA	Desktop	20
65	18	m	Japan	Mobile	7
66	43	f	Germany	Tablet	17
68	32	f	USA	Tablet	15
69	40	m	Brazil	Desktop	4
70	58	f	Brazil	Tablet	21
71	48	m	UK	Desktop	12
72	24	m	Germany	Mobile	18
73	50	f	Germany	Desktop	2
74	28	f	Brazil	Mobile	7
75	45	f	Japan	Desktop	11
76	29	f	USA	Tablet	1
77	22	m	Japan	Tablet	10
78	28	m	Japan	Desktop	11
